Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
iscS;b2530;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;11.192;13.972;0.0920
iscR;b2531;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;6.996;9.850;0.1159
recD;b2819;ubiG;b2232;Isolate 1;non-essential;No functional association with STRING;2.164;4.107;0.3887
mdh;b3236;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;9.933;17.591;0.1920
mdh;b3236;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;12.381;22.703;0.1359
yhdZ;b3271;ytjB;b4387;Isolate 2;non-essential;No functional association with STRING;16.343;22.859;0.3302
yiiL;b3901;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;11.892;26.365;0.0046
yacL;b0119;lipB;b0630;Isolate 2;non-essential;No functional association with STRING;1.205;4.442;-0.4001
yacL;b0119;yfhM;b2520;Isolate 2;non-essential;No functional association with STRING;1.121;4.140;-1.1496
yacL;b0119;rbfA;b3167;Isolate 1;non-essential;No functional association with STRING;1.404;4.163;-3.1179
yacL;b0119;rbfA;b3167;Isolate 2;non-essential;No functional association with STRING;1.763;6.469;-2.7005
yacL;b0119;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;1.961;7.186;-1.9390
yadE;b0130;lipA;b0628;Isolate 1;non-essential;No functional association with STRING;1.614;5.017;-2.8294
yadE;b0130;lipA;b0628;Isolate 2;non-essential;No functional association with STRING;1.900;7.874;-2.4823
yadE;b0130;lipB;b0630;Isolate 2;non-essential;No functional association with STRING;1.084;4.488;-0.4738
yafP;b0234;lipA;b0628;Isolate 1;non-essential;No functional association with STRING;2.039;5.411;-2.2807
yafP;b0234;lipA;b0628;Isolate 2;non-essential;No functional association with STRING;2.115;6.592;-2.4346
yafP;b0234;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;2.906;9.059;-2.6397
ykgE;b0306;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;4.265;11.933;-1.7177
sufE;b1679;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;12.129;19.255;-0.1004
sufE;b1679;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;3.658;5.772;-0.7992
sufE;b1679;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;4.733;7.563;-0.6542
sufE;b1679;napB;b2203;Isolate 1;non-essential;No functional association with STRING;5.889;9.236;-0.7334
sufE;b1679;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;9.561;14.938;-0.2014
sufE;b1679;rbfA;b3167;Isolate 1;non-essential;No functional association with STRING;2.557;4.063;-2.3052
sufE;b1679;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;3.917;6.272;-1.9562
sufB;b1683;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;11.109;14.247;-0.0678
sufB;b1683;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;6.838;9.286;-0.3111
sufB;b1683;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;5.195;6.699;-0.5100
sufB;b1683;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;5.924;8.065;-0.2655
sufB;b1683;rbfA;b3167;Isolate 1;non-essential;No functional association with STRING;2.901;4.025;-2.2018
sufB;b1683;priA;b3935;Isolate 1;non-essential;No functional association with STRING;11.919;16.075;-0.0634
sufB;b1683;ytjB;b4387;Isolate 2;non-essential;No functional association with STRING;12.403;15.899;-0.0508
sufA;b1684;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;3.199;4.503;-0.6225
hscA;b2526;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;4.028;4.496;-0.6701
hscA;b2526;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;7.922;8.699;-0.1593
hscB;b2527;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;8.517;13.481;-0.4504
iscA;b2528;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;9.065;14.865;-0.0606
iscA;b2528;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;10.085;16.528;-0.0718
iscA;b2528;napB;b2203;Isolate 1;non-essential;No functional association with STRING;3.289;5.215;-0.1731
iscS;b2530;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;6.651;8.785;-0.0186
iscS;b2530;lipA;b0628;Isolate 1;non-essential;No functional association with STRING;3.936;4.969;-1.4785
iscS;b2530;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;8.445;11.133;-0.1004
iscS;b2530;napB;b2203;Isolate 1;non-essential;No functional association with STRING;10.576;13.207;-0.0350
iscS;b2530;rbfA;b3167;Isolate 1;non-essential;No functional association with STRING;3.499;4.427;-1.8963
iscS;b2530;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;3.399;4.530;-2.2752
iscR;b2531;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;9.732;15.593;-0.0368
iscR;b2531;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;7.929;11.150;-0.3456
iscR;b2531;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;5.806;9.317;-0.4973
dsbC;b2893;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;7.443;11.285;-0.2967
mdh;b3236;hchA;b1967;Isolate 2;non-essential;No functional association with STRING;7.701;13.652;-0.1094
mdh;b3236;napB;b2203;Isolate 1;non-essential;No functional association with STRING;6.758;12.408;-0.6543
mdh;b3236;yfhM;b2520;Isolate 2;non-essential;No functional association with STRING;9.935;17.595;-0.3111
mdh;b3236;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;7.906;14.511;-0.1265
mdh;b3236;atpG;b3733;Isolate 2;non-essential;No functional association with STRING;3.663;6.524;-2.1352
yiiL;b3901;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;11.488;20.535;-0.0443
yiiL;b3901;napB;b2203;Isolate 1;non-essential;No functional association with STRING;8.502;15.221;-0.4818
ytfR;b4485;atpD;b3732;Isolate 2;non-essential;No functional association with STRING;2.150;4.218;-0.6005
yacL;b0119;yagV;b0289;Isolate 1;non-essential;No functional association with STRING;-1.948;-5.712;-0.6665
yacL;b0119;betT;b0314;Isolate 1;non-essential;No functional association with STRING;-1.456;-4.262;-1.4581
yacL;b0119;ybbN;b0492;Isolate 2;non-essential;Functional association with STRING;-1.347;-4.812;-0.1426
yacL;b0119;ybdK;b0581;Isolate 2;non-essential;No functional association with STRING;-1.439;-5.145;-0.5812
yacL;b0119;ybfA;b0699;Isolate 2;non-essential;No functional association with STRING;-1.328;-4.743;-0.1469
yacL;b0119;ybgC;b0736;Isolate 2;non-essential;No functional association with STRING;-1.584;-5.673;-1.2041
yacL;b0119;ydfU;b1560;Isolate 1;non-essential;No functional association with STRING;-2.714;-7.970;-1.4017
yacL;b0119;lpp;b1677;Isolate 1;non-essential;No functional association with STRING;-2.059;-6.039;-1.7172
yacL;b0119;rfbD;b2040;Isolate 2;non-essential;No functional association with STRING;-8.602;-31.126;-10.3433
yacL;b0119;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-21.471;-8.0942
yacL;b0119;yfcA;b2327;Isolate 2;non-essential;No functional association with STRING;-2.792;-10.052;-8.6686
yacL;b0119;yfjO;b2631;Isolate 1;non-essential;No functional association with STRING;-3.558;-10.456;-2.4311
yacL;b0119;barA;b2786;Isolate 1;non-essential;No functional association with STRING;-5.883;-17.304;-8.0942
yacL;b0119;yggJ;b2946;Isolate 1;non-essential;No functional association with STRING;-1.991;-5.838;-1.5457
yacL;b0119;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-3.927;-14.169;-10.3433
yacL;b0119;yihQ;b3878;Isolate 1;non-essential;No functional association with STRING;-4.293;-12.621;-4.1214
yacL;b0119;lysU;b4129;Isolate 2;non-essential;No functional association with STRING;-1.222;-4.359;-0.5109
yadE;b0130;yaaA;b0006;Isolate 2;non-essential;No functional association with STRING;-1.403;-5.819;-1.1211
yadE;b0130;dkgB;b0207;Isolate 1;non-essential;No functional association with STRING;-1.550;-4.850;-0.5657
yadE;b0130;ybbY;b0513;Isolate 2;non-essential;No functional association with STRING;-2.043;-8.471;-0.9356
yadE;b0130;ybdR;b0608;Isolate 2;non-essential;No functional association with STRING;-1.042;-4.322;-0.7623
yadE;b0130;tolQ;b0737;Isolate 2;non-essential;No functional association with STRING;-1.626;-6.746;-1.0633
yadE;b0130;tolA;b0739;Isolate 1;non-essential;No functional association with STRING;-2.048;-6.403;-0.8636
yadE;b0130;ybhN;b0788;Isolate 2;non-essential;No functional association with STRING;-1.257;-5.216;-1.0087
yadE;b0130;torS;b0993;Isolate 2;non-essential;No functional association with STRING;-1.421;-5.892;-0.2421
yadE;b0130;nagK;b1119;Isolate 1;non-essential;No functional association with STRING;-1.446;-4.525;-1.0697
yadE;b0130;intR;b1345;Isolate 2;non-essential;No functional association with STRING;-0.996;-4.134;-0.7530
yadE;b0130;sfcA;b1479;Isolate 2;non-essential;No functional association with STRING;-1.049;-4.350;-0.5807
yadE;b0130;fliR;b1950;Isolate 1;non-essential;No functional association with STRING;-2.174;-6.797;-1.6665
yadE;b0130;fliR;b1950;Isolate 2;non-essential;No functional association with STRING;-3.338;-13.841;-6.4395
yadE;b0130;yegI;b2070;Isolate 2;non-essential;No functional association with STRING;-2.783;-11.538;-2.5873
yadE;b0130;atoS;b2219;Isolate 2;non-essential;No functional association with STRING;-1.390;-5.764;-1.5201
yadE;b0130;elaC;b2268;Isolate 1;non-essential;No functional association with STRING;-1.711;-5.354;-1.9907
yadE;b0130;dedD;b2314;Isolate 2;non-essential;No functional association with STRING;-1.138;-4.720;-1.8226
yadE;b0130;sdaC;b2796;Isolate 1;non-essential;No functional association with STRING;-1.716;-5.368;-1.1111
yadE;b0130;exbD;b3005;Isolate 1;non-essential;No functional association with STRING;-1.729;-5.409;-1.5376
yadE;b0130;exbB;b3006;Isolate 1;non-essential;No functional association with STRING;-1.878;-5.873;-0.9669
yadE;b0130;kdsC;b3198;Isolate 2;non-essential;No functional association with STRING;-1.296;-5.374;-0.9837
yadE;b0130;yidJ;b3678;Isolate 1;non-essential;No functional association with STRING;-1.601;-5.012;-0.9456
yadE;b0130;yidJ;b3678;Isolate 2;non-essential;No functional association with STRING;-1.141;-4.734;-0.9429
yadE;b0130;cbrC;b3717;Isolate 2;non-essential;No functional association with STRING;-1.212;-5.026;-1.0089
yadE;b0130;phnL;b4096;Isolate 2;non-essential;No functional association with STRING;-1.446;-5.997;-0.8592
yadE;b0130;ytfJ;b4216;Isolate 2;non-essential;No functional association with STRING;-1.452;-6.024;-1.0037
yadE;b0130;ytfL;b4218;Isolate 2;non-essential;No functional association with STRING;-1.282;-5.320;-0.8636
yadE;b0130;osmY;b4376;Isolate 1;non-essential;No functional association with STRING;-2.280;-7.128;-1.5933
yadE;b0130;sgcB;b4565;Isolate 1;non-essential;No functional association with STRING;-2.564;-8.013;-1.2302
yafP;b0234;tesB;b0452;Isolate 1;non-essential;No functional association with STRING;-3.461;-9.213;-2.2284
yafP;b0234;ompW;b1256;Isolate 2;non-essential;No functional association with STRING;-1.345;-4.205;-1.1783
yafP;b0234;ydbD;b1407;Isolate 2;non-essential;No functional association with STRING;-1.403;-4.386;-0.6387
yafP;b0234;narZ;b1468;Isolate 2;non-essential;No functional association with STRING;-1.608;-5.026;-1.7336
yafP;b0234;nuoM;b2277;Isolate 1;non-essential;No functional association with STRING;-1.687;-4.495;-1.5690
yafP;b0234;csiE;b2535;Isolate 1;non-essential;No functional association with STRING;-1.577;-4.203;-0.4557
yafP;b0234;rpsO;b3165;Isolate 2;non-essential;No functional association with STRING;-1.653;-5.167;-0.0344
yafP;b0234;yibH;b3597;Isolate 2;non-essential;No functional association with STRING;-1.377;-4.303;-1.0616
ykgE;b0306;leuO;b0076;Isolate 2;non-essential;No functional association with STRING;-2.703;-7.411;-1.7475
ykgE;b0306;perR;b0254;Isolate 1;non-essential;No functional association with STRING;-2.882;-6.851;-1.7643
ykgE;b0306;phoA;b0383;Isolate 2;non-essential;No functional association with STRING;-1.713;-4.663;-1.3272
ykgE;b0306;ylaC;b0458;Isolate 2;non-essential;No functional association with STRING;-2.435;-6.668;-0.5602
ykgE;b0306;acrB;b0462;Isolate 1;non-essential;No functional association with STRING;-4.189;-9.983;-3.5218
ykgE;b0306;lipB;b0630;Isolate 2;non-essential;No functional association with STRING;-2.118;-5.789;-1.8108
ykgE;b0306;ybfN;b0682;Isolate 2;non-essential;No functional association with STRING;-1.594;-4.333;-0.2766
ykgE;b0306;ybhR;b0792;Isolate 2;non-essential;No functional association with STRING;-1.743;-4.748;-0.9172
ykgE;b0306;ycbG;b0956;Isolate 2;non-essential;No functional association with STRING;-1.498;-4.068;-0.2897
ykgE;b0306;ycdO;b1018;Isolate 2;non-essential;No functional association with STRING;-1.552;-4.218;-1.2095
ykgE;b0306;grxB;b1064;Isolate 1;non-essential;No functional association with STRING;-2.063;-4.888;-1.7630
ykgE;b0306;ycjS;b1315;Isolate 2;non-essential;No functional association with STRING;-1.704;-4.639;-1.1445
ykgE;b0306;stfR;b1372;Isolate 2;non-essential;No functional association with STRING;-2.206;-6.032;-1.5368
ykgE;b0306;paaD;b1391;Isolate 2;non-essential;No functional association with STRING;-1.618;-4.401;-0.8347
ykgE;b0306;yncJ;b1436;Isolate 2;non-essential;No functional association with STRING;-1.834;-5.001;-1.0341
ykgE;b0306;ydcS;b1440;Isolate 1;non-essential;No functional association with STRING;-5.208;-12.427;-2.5530
ykgE;b0306;ydiD;b1701;Isolate 2;non-essential;No functional association with STRING;-1.629;-4.431;-1.0370
ykgE;b0306;yniC;b1727;Isolate 2;non-essential;No functional association with STRING;-1.985;-5.418;-1.6838
ykgE;b0306;chbR;b1735;Isolate 1;non-essential;No functional association with STRING;-2.945;-7.001;-1.9078
ykgE;b0306;menE;b2260;Isolate 2;non-essential;No functional association with STRING;-1.614;-4.389;-1.4483
ykgE;b0306;dedD;b2314;Isolate 2;non-essential;No functional association with STRING;-1.793;-4.886;-2.2384
ykgE;b0306;dsdC;b2364;Isolate 1;non-essential;No functional association with STRING;-2.113;-5.008;-1.3659
ykgE;b0306;cysZ;b2413;Isolate 2;non-essential;No functional association with STRING;-1.803;-4.913;-1.4106
ykgE;b0306;ypjB;b2649;Isolate 2;non-essential;No functional association with STRING;-2.006;-5.477;-1.2085
ykgE;b0306;ygcO;b2767;Isolate 1;non-essential;No functional association with STRING;-4.958;-11.826;-2.9375
ykgE;b0306;yghQ;b2983;Isolate 2;non-essential;No functional association with STRING;-2.675;-7.335;-1.9342
ykgE;b0306;tolC;b3035;Isolate 2;non-essential;No functional association with STRING;-5.619;-15.509;-11.3223
ykgE;b0306;rpe;b3386;Isolate 1;non-essential;No functional association with STRING;-2.090;-4.953;-2.1764
ykgE;b0306;ubiE;b3833;Isolate 1;non-essential;No functional association with STRING;-1.693;-4.002;-11.2281
ykgE;b0306;osmY;b4376;Isolate 1;non-essential;No functional association with STRING;-1.798;-4.253;-1.2122
ykgE;b0306;araH;b4460;Isolate 1;non-essential;No functional association with STRING;-2.093;-4.961;-1.7100
ykgE;b0306;gapC;b4493;Isolate 1;non-essential;No functional association with STRING;-2.851;-6.777;-1.6764
mfd;b1114;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-5.961;-4.971;-10.9891
mfd;b1114;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-12.657;-12.054;-10.2213
mfd;b1114;ecpD;b0140;Isolate 2;non-essential;No functional association with STRING;-5.186;-4.861;-2.4718
mfd;b1114;ybaJ;b0461;Isolate 1;non-essential;No functional association with STRING;-5.599;-4.661;-8.0001
mfd;b1114;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-12.876;-10.2213
mfd;b1114;dinG;b0799;Isolate 2;non-essential;No functional association with STRING;-6.115;-5.756;-2.5110
mfd;b1114;pin;b1158;Isolate 1;non-essential;No functional association with STRING;-5.956;-4.967;-2.4767
mfd;b1114;umuC;b1184;Isolate 2;non-essential;No functional association with STRING;-13.330;-12.702;-10.2213
mfd;b1114;dadA;b1189;Isolate 1;non-essential;No functional association with STRING;-12.826;-10.865;-10.9891
mfd;b1114;dadX;b1190;Isolate 1;non-essential;Functional association with STRING;-6.069;-5.064;-2.7781
mfd;b1114;dadX;b1190;Isolate 2;non-essential;Functional association with STRING;-5.496;-5.159;-2.3620
mfd;b1114;hns;b1237;Isolate 1;non-essential;No functional association with STRING;-5.058;-4.196;-10.9891
mfd;b1114;trpC;b1262;Isolate 1;non-essential;No functional association with STRING;-5.456;-4.538;-2.4748
mfd;b1114;trpD;b1263;Isolate 2;non-essential;No functional association with STRING;-12.206;-11.619;-5.5297
mfd;b1114;ompG;b1319;Isolate 1;non-essential;No functional association with STRING;-5.050;-4.190;-2.7029
mfd;b1114;ynbC;b1410;Isolate 2;non-essential;No functional association with STRING;-7.669;-7.251;-2.8510
mfd;b1114;mdoD;b1424;Isolate 2;non-essential;No functional association with STRING;-7.632;-7.216;-3.1700
mfd;b1114;relE;b1563;Isolate 2;non-essential;No functional association with STRING;-5.311;-4.981;-2.3774
mfd;b1114;yeaQ;b1795;Isolate 1;non-essential;No functional association with STRING;-7.070;-5.923;-3.0783
mfd;b1114;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-6.118;-10.9891
mfd;b1114;purC;b2476;Isolate 1;non-essential;No functional association with STRING;-9.878;-8.334;-10.9891
mfd;b1114;pbpC;b2519;Isolate 2;non-essential;No functional association with STRING;-5.842;-5.493;-2.8575
mfd;b1114;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-7.465;-6.263;-3.7063
mfd;b1114;recC;b2822;Isolate 1;non-essential;No functional association with STRING;-5.360;-4.456;-10.9891
mfd;b1114;ygfM;b2880;Isolate 2;non-essential;No functional association with STRING;-7.317;-6.912;-3.3188
mfd;b1114;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-10.096;-8.521;-3.8257
mfd;b1114;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-7.239;-10.2213
mfd;b1114;yhfT;b3377;Isolate 2;non-essential;No functional association with STRING;-13.963;-13.311;-5.8956
mfd;b1114;nikB;b3477;Isolate 2;non-essential;No functional association with STRING;-12.035;-11.454;-8.3153
mfd;b1114;atpH;b3735;Isolate 1;non-essential;No functional association with STRING;-11.515;-9.739;-6.2963
mfd;b1114;purH;b4006;Isolate 1;non-essential;No functional association with STRING;-5.215;-4.331;-2.8735
mfd;b1114;purH;b4006;Isolate 2;non-essential;No functional association with STRING;-11.671;-11.104;-7.6812
mfd;b1114;treC;b4239;Isolate 2;non-essential;No functional association with STRING;-7.252;-6.850;-2.9871
ycjN;b1310;cmk;b0910;Isolate 2;non-essential;No functional association with STRING;-3.302;-4.097;-6.8595
ycjN;b1310;ssuA;b0936;Isolate 1;non-essential;No functional association with STRING;-3.423;-4.428;-3.9256
ycjN;b1310;ycgZ;b1164;Isolate 2;non-essential;No functional association with STRING;-4.380;-5.485;-3.4135
ycjN;b1310;minC;b1176;Isolate 1;non-essential;No functional association with STRING;-3.166;-4.081;-2.2586
ycjN;b1310;btuR;b1270;Isolate 1;non-essential;No functional association with STRING;-13.318;-17.744;-9.9954
ycjN;b1310;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-4.773;-6.244;-9.9954
ycjN;b1310;yciM;b1280;Isolate 1;non-essential;No functional association with STRING;-6.800;-8.972;-2.7814
ycjN;b1310;paaF;b1393;Isolate 1;non-essential;No functional association with STRING;-3.112;-4.009;-1.5927
ycjN;b1310;yeaE;b1781;Isolate 2;non-essential;No functional association with STRING;-11.898;-15.161;-10.2086
ycjN;b1310;hisG;b2019;Isolate 1;non-essential;No functional association with STRING;-3.520;-4.559;-2.5348
ycjN;b1310;csiE;b2535;Isolate 1;non-essential;No functional association with STRING;-4.304;-5.613;-1.0104
ycjN;b1310;cysN;b2751;Isolate 1;non-essential;No functional association with STRING;-5.445;-7.148;-3.4028
ycjN;b1310;cysI;b2763;Isolate 1;non-essential;No functional association with STRING;-3.955;-5.143;-2.9160
ycjN;b1310;cysJ;b2764;Isolate 1;non-essential;No functional association with STRING;-4.136;-5.387;-2.8060
ycjN;b1310;gudX;b2788;Isolate 1;non-essential;No functional association with STRING;-3.813;-4.953;-2.3032
ycjN;b1310;ygfY;b2897;Isolate 1;non-essential;No functional association with STRING;-3.595;-4.659;-2.9159
ycjN;b1310;cysE;b3607;Isolate 2;non-essential;No functional association with STRING;-5.061;-6.362;-10.2086
ycjN;b1310;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-6.554;-8.641;-9.0836
ycjN;b1310;ybgT;b4515;Isolate 2;non-essential;No functional association with STRING;-4.908;-6.164;-4.6992
ycjR;b1314;ybaT;b0486;Isolate 2;non-essential;No functional association with STRING;-3.115;-4.344;-6.3783
ycjR;b1314;yceO;b1058;Isolate 1;non-essential;No functional association with STRING;-4.121;-5.645;-1.9352
ycjR;b1314;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-4.632;-6.353;-9.1971
ycjR;b1314;ydaC;b1347;Isolate 2;non-essential;No functional association with STRING;-5.801;-8.151;-2.6091
ycjR;b1314;purL;b2557;Isolate 2;non-essential;No functional association with STRING;-5.916;-8.314;-3.5757
ycjR;b1314;hybB;b2995;Isolate 1;non-essential;No functional association with STRING;-13.846;-19.106;-11.3640
ycjR;b1314;yhaC;b3121;Isolate 1;non-essential;No functional association with STRING;-14.743;-20.348;-11.3640
ycjR;b1314;selA;b3591;Isolate 2;non-essential;No functional association with STRING;-4.279;-5.994;-12.2779
ycjR;b1314;cysE;b3607;Isolate 2;non-essential;No functional association with STRING;-4.884;-6.852;-6.7343
ycjR;b1314;trkH;b3849;Isolate 1;non-essential;No functional association with STRING;-4.268;-5.849;-2.4836
ycjR;b1314;zur;b4046;Isolate 1;non-essential;No functional association with STRING;-12.780;-17.630;-5.1608
sufE;b1679;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-5.961;-9.163;-10.4300
sufE;b1679;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-12.657;-19.932;-10.7586
sufE;b1679;mdlB;b0449;Isolate 1;non-essential;No functional association with STRING;-3.229;-4.922;-10.4300
sufE;b1679;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-21.283;-10.7586
sufE;b1679;pepT;b1127;Isolate 1;non-essential;No functional association with STRING;-3.608;-5.509;-10.4300
sufE;b1679;ydcP;b1435;Isolate 1;non-essential;No functional association with STRING;-3.221;-4.910;-1.8466
sufE;b1679;ihfA;b1712;Isolate 2;non-essential;No functional association with STRING;-3.163;-4.922;-2.6382
sufE;b1679;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.265;-11.188;-8.8948
sufE;b1679;fdx;b2525;Isolate 1;non-essential;No functional association with STRING;-9.287;-14.328;-10.4300
sufE;b1679;fdx;b2525;Isolate 2;non-essential;No functional association with STRING;-9.931;-15.621;-6.1515
sufE;b1679;hscB;b2527;Isolate 2;non-essential;No functional association with STRING;-9.549;-15.018;-9.3170
sufE;b1679;iscU;b2529;Isolate 1;non-essential;No functional association with STRING;-6.159;-9.471;-10.4300
sufE;b1679;iscS;b2530;Isolate 2;non-essential;Functional association with STRING;-3.790;-5.913;-10.7586
sufE;b1679;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-3.725;-5.691;-2.6549
sufE;b1679;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-9.559;-14.749;-3.6466
sufE;b1679;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-12.026;-10.7586
sufS;b1680;etp;b0982;Isolate 2;non-essential;No functional association with STRING;-4.471;-5.154;-1.0773
sufS;b1680;rsxC;b1629;Isolate 1;non-essential;No functional association with STRING;-4.843;-5.458;-2.3901
sufS;b1680;ydhL;b1648;Isolate 2;non-essential;No functional association with STRING;-6.753;-7.872;-2.2181
sufS;b1680;ydiV;b1707;Isolate 2;non-essential;No functional association with STRING;-5.707;-6.626;-2.7264
sufS;b1680;btuD;b1709;Isolate 2;non-essential;No functional association with STRING;-6.727;-7.841;-3.6301
sufS;b1680;pfkB;b1723;Isolate 2;non-essential;No functional association with STRING;-5.159;-5.973;-3.0237
sufS;b1680;ydjO;b1730;Isolate 1;non-essential;No functional association with STRING;-5.147;-5.812;-9.8885
sufS;b1680;ydjQ;b1741;Isolate 1;non-essential;No functional association with STRING;-9.587;-10.977;-5.0920
sufS;b1680;astC;b1748;Isolate 2;non-essential;No functional association with STRING;-3.713;-4.251;-2.5130
sufS;b1680;ydjY;b1751;Isolate 2;non-essential;No functional association with STRING;-7.772;-9.085;-3.0336
sufS;b1680;ynjC;b1755;Isolate 2;non-essential;No functional association with STRING;-4.159;-4.782;-2.3158
sufS;b1680;ynjI;b1762;Isolate 2;non-essential;No functional association with STRING;-4.247;-4.887;-1.8315
sufS;b1680;yeaW;b1802;Isolate 2;non-essential;No functional association with STRING;-9.802;-11.504;-4.0761
sufS;b1680;yebU;b1835;Isolate 2;non-essential;No functional association with STRING;-3.793;-4.346;-1.6650
sufS;b1680;yebB;b1862;Isolate 2;non-essential;No functional association with STRING;-4.314;-4.966;-1.4457
sufS;b1680;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-8.313;-9.9893
sufS;b1680;dedD;b2314;Isolate 2;non-essential;No functional association with STRING;-4.076;-4.683;-4.2231
