cell1,cell2,cell3,cell4,cell5
DXPS,g3p_c + h_c + pyr_c  -> co2_c + dxyl5p_c ,"Cofactor and Prosthetic Group Biosynthesis","1-deoxy-D-xylulose 5-phosphate synthase",b0420
DMATT,dmpp_c + ipdp_c  -> grdp_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Dimethylallyltranstransferase",b0421
GRTT,grdp_c + ipdp_c  -> frdp_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Geranyltranstransferase",b0421
ADK1,amp_c + atp_c  <=> 2 adp_c ,"Nucleotide Salvage Pathway","Adenylate kinase",b0474
ADK3,amp_c + gtp_c  <=> adp_c + gdp_c ,"Nucleotide Salvage Pathway","Adentylate kinase (GTP)",b0474
ADK4,amp_c + itp_c  <=> adp_c + idp_c ,"Nucleotide Salvage Pathway","Adentylate kinase (ITP)",b0474
ADNK1,adn_c + atp_c  -> adp_c + amp_c + h_c ,"Nucleotide Salvage Pathway","Adenosine kinase",b0474
DADK,atp_c + damp_c  <=> adp_c + dadp_c ,"Nucleotide Salvage Pathway","Deoxyadenylate kinase",b0474
NDPK6,atp_c + dudp_c  <=> adp_c + dutp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:dUDP)",b2518 or b0474
NDPK7,atp_c + dcdp_c  <=> adp_c + dctp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:dCDP)",b0474 or b2518
NDPK8,atp_c + dadp_c  <=> adp_c + datp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:dADP)",b0474 or b2518
NDPK1,atp_c + gdp_c  <=> adp_c + gtp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:GDP)",b0474 or b2518
NDPK2,atp_c + udp_c  <=> adp_c + utp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:UDP)",b0474 or b2518
NDPK3,atp_c + cdp_c  <=> adp_c + ctp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:CDP)",b2518 or b0474
NDPK4,atp_c + dtdp_c  <=> adp_c + dttp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:dTDP)",b0474 or b2518
NDPK5,atp_c + dgdp_c  <=> adp_c + dgtp_c ,"Nucleotide Salvage Pathway","Nucleoside-diphosphate kinase (ATP:dGDP)",b0474 or b2518
FCLT,fe2_c + ppp9_c  -> 2 h_c + pheme_c ,"Cofactor and Prosthetic Group Biosynthesis","Ferrochelatase",b0475
USHD,h2o_c + u23ga_c  -> lipidX_c + 2 h_c + ump_c ,"Lipopolysaccharide Biosynthesis / Recycling","UDP-sugar hydrolase",b0524
CYSTRS,cys__L_c + atp_c + trnacys_c  -> amp_c + cystrna_c + ppi_c ,"tRNA Charging","Cysteinyl-tRNA synthetase",b0526
MTHFC,h2o_c + methf_c  <=> 10fthf_c + h_c ,"Folate Metabolism","Methenyltetrahydrofolate cyclohydrolase",b0529
MTHFD,mlthf_c + nadp_c  <=> methf_c + nadph_c ,"Folate Metabolism","Methylenetetrahydrofolate dehydrogenase (NADP)",b0529
MCTP1App,murein5p5p_p  -> ala__D_p + murein5px4p_p ,"Murein Biosynthesis","Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)",b0084 or b0635 or b0149 or b3396
MCTP2App,murein5p5p5p_p  -> 2 ala__D_p + murein5px4px4p_p ,"Murein Biosynthesis","Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)",b0084 or b0635 or b3396 or b0149
NMNAT,atp_c + h_c + nmn_c  -> nad_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Nicotinamide-nucleotide adenylyltransferase",b4390 or b0639
NNATr,atp_c + h_c + nicrnt_c  <=> dnad_c + ppi_c ,"Nucleotide Salvage Pathway","Nicotinate-nucleotide adenylyltransferase",b0639
LEUTRS,atp_c + leu__L_c + trnaleu_c  -> amp_c + leutrna_c + ppi_c ,"tRNA Charging","Leucyl-tRNA synthetase",b0642
ALPATE160pp,alpp_p + pe160_p  -> 2agpe160_p + lpp_p ,"Unassigned","Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",b0657 and b1677
ALPATG160pp,alpp_p + pg160_p  -> 2agpg160_p + lpp_p ,"Unassigned","Apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)",b0657 and b1677
GLNTRS,atp_c + gln__L_c + trnagln_c  -> amp_c + glntrna_c + ppi_c ,"tRNA Charging","Glutaminyl-tRNA synthetase",b0680
FLDR2,2 flxso_c + nadph_c  -> 2 flxr_c + h_c + nadp_c ,"Unassigned","Flavodoxin reductase (NADPH)",(b0684 and b3924) or (b2895 and b3924)
MECDPDH5,2mecdp_c + 2 flxr_c + h_c  -> 2 flxso_c + h2mb4p_c + h2o_c ,"Cofactor and Prosthetic Group Biosynthesis","2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",(b2895 and b2515) or (b0684 and b2515)
POR5,2 flxso_c + coa_c + pyr_c  <=> accoa_c + 2 flxr_c + co2_c + h_c ,"Pyruvate Metabolism","Pyruvate synthase",(b0684 and b1378) or (b2895 and b1378)
RNTR4c2,2 flxr_c + 2 h_c + utp_c  -> 2 flxso_c + dutp_c + h2o_c ,"Nucleotide Salvage Pathway","Ribonucleoside-triphosphate reductase (UTP) (flavodoxin)",(b0684 and b3924 and b4238 and b4237) or (b2895 and b3924 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)
RNTR1c2,atp_c + 2 flxr_c + 2 h_c  -> 2 flxso_c + datp_c + h2o_c ,"Nucleotide Salvage Pathway","Ribonucleoside-triphosphate reductase (ATP) (flavodoxin)",(b0684 and b3924 and b4238 and b4237) or (b2895 and b3924 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)
RNTR2c2,2 flxr_c + gtp_c + 2 h_c  -> 2 flxso_c + dgtp_c + h2o_c ,"Nucleotide Salvage Pathway","Ribonucleoside-triphosphate reductase (GTP) (flavodoxin)",(b0684 and b3924 and b4238 and b4237) or (b2895 and b3924 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)
RNTR3c2,ctp_c + 2 flxr_c + 2 h_c  -> 2 flxso_c + dctp_c + h2o_c ,"Nucleotide Salvage Pathway","Ribonucleoside-triphosphate reductase (CTP) (flavodoxin)",(b0684 and b3924 and b4238 and b4237) or (b2895 and b3924 and b4238 and b4237) or (b0684 and b4238) or (b2895 and b4238)
SERTRS,atp_c + ser__L_c + trnaser_c  -> amp_c + ppi_c + sertrna_c ,"tRNA Charging","Seryl-tRNA synthetase",b0893
SERTRS2,atp_c + ser__L_c + trnasecys_c  -> amp_c + ppi_c + sertrna_sec_c ,"tRNA Charging","Seryl-tRNA synthetase (selenocystein)",b0893
COLIPAabcpp,atp_c + colipa_c + h2o_c  -> adp_c + h_c + pi_c + colipa_p ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm)",b0914
K2L4Aabcpp,atp_c + h2o_c + kdo2lipid4_c  -> adp_c + h_c + pi_c + kdo2lipid4_p ,"Transport, Inner Membrane","KDO(2)-lipid IV A transport via ABC system (periplasm)",b0914
LIPACabcpp,atp_c + lipa_cold_c + h2o_c  -> adp_c + h_c + pi_c + lipa_cold_p ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid (cold) A transport via ABC system (periplasm)",b0914
LIPAabcpp,atp_c + lipa_c + h2o_c  -> adp_c + h_c + pi_c + lipa_p ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm)",b0914
PA120abcpp,atp_c + h2o_c + pa120_c  -> adp_c + h_c + pi_c + pa120_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C12:0, periplasm)",b0914
PA140abcpp,atp_c + h2o_c + pa140_c  -> adp_c + h_c + pi_c + pa140_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C14:0, periplasm)",b0914
PA141abcpp,atp_c + h2o_c + pa141_c  -> adp_c + h_c + pi_c + pa141_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C14:1, periplasm)",b0914
PA160abcpp,atp_c + h2o_c + pa160_c  -> adp_c + h_c + pi_c + pa160_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C16:0, periplasm)",b0914
PA161abcpp,atp_c + h2o_c + pa161_c  -> adp_c + h_c + pi_c + pa161_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C16:1, periplasm)",b0914
PA180abcpp,atp_c + h2o_c + pa180_c  -> adp_c + h_c + pi_c + pa180_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C18:0, periplasm)",b0914
PA181abcpp,atp_c + h2o_c + pa181_c  -> adp_c + h_c + pi_c + pa181_p ,"Transport, Inner Membrane","Phosphatidate transport via ABC system (n-C18:1, periplasm)",b0914
PE120abcpp,atp_c + h2o_c + pe120_c  -> adp_c + h_c + pi_c + pe120_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)",b0914
PE140abcpp,atp_c + h2o_c + pe140_c  -> adp_c + h_c + pi_c + pe140_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",b0914
PE141abcpp,atp_c + h2o_c + pe141_c  -> adp_c + h_c + pi_c + pe141_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",b0914
PG120abcpp,atp_c + h2o_c + pg120_c  -> adp_c + h_c + pi_c + pg120_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)",b0914
PG140abcpp,atp_c + h2o_c + pg140_c  -> adp_c + h_c + pi_c + pg140_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)",b0914
PG141abcpp,atp_c + h2o_c + pg141_c  -> adp_c + h_c + pi_c + pg141_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)",b0914
PG160abcpp,atp_c + h2o_c + pg160_c  -> adp_c + h_c + pi_c + pg160_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)",b0914
PG161abcpp,atp_c + h2o_c + pg161_c  -> adp_c + h_c + pi_c + pg161_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)",b0914
PE160abcpp,atp_c + h2o_c + pe160_c  -> adp_c + h_c + pi_c + pe160_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",b0914
PE161abcpp,atp_c + h2o_c + pe161_c  -> adp_c + h_c + pi_c + pe161_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)",b0914
PG180abcpp,atp_c + h2o_c + pg180_c  -> adp_c + h_c + pi_c + pg180_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)",b0914
PG181abcpp,atp_c + h2o_c + pg181_c  -> adp_c + h_c + pi_c + pg181_p ,"Transport, Inner Membrane","Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)",b0914
PE180abcpp,atp_c + h2o_c + pe180_c  -> adp_c + h_c + pi_c + pe180_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)",b0914
PE181abcpp,atp_c + h2o_c + pe181_c  -> adp_c + h_c + pi_c + pe181_p ,"Transport, Inner Membrane","Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)",b0914
PGP120abcpp,atp_c + h2o_c + pgp120_c  -> adp_c + h_c + pi_c + pgp120_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)",b0914
PGP140abcpp,atp_c + h2o_c + pgp140_c  -> adp_c + h_c + pi_c + pgp140_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)",b0914
PGP141abcpp,atp_c + h2o_c + pgp141_c  -> adp_c + h_c + pi_c + pgp141_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)",b0914
PGP160abcpp,atp_c + h2o_c + pgp160_c  -> adp_c + h_c + pi_c + pgp160_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)",b0914
PGP161abcpp,atp_c + h2o_c + pgp161_c  -> adp_c + h_c + pi_c + pgp161_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)",b0914
PGP180abcpp,atp_c + h2o_c + pgp180_c  -> adp_c + h_c + pi_c + pgp180_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)",b0914
PGP181abcpp,atp_c + h2o_c + pgp181_c  -> adp_c + h_c + pi_c + pgp181_p ,"Transport, Inner Membrane","Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)",b0914
TDSK,atp_c + lipidAds_c  -> adp_c + lipidA_c + h_c ,"Lipopolysaccharide Biosynthesis / Recycling","Tetraacyldisaccharide 4'kinase",b0915
KDOCT2,ctp_c + kdo_c  -> ckdo_c + ppi_c ,"Lipopolysaccharide Biosynthesis / Recycling","3-deoxy-manno-octulosonate cytidylyltransferase",b0918
ASNTRS,asn__L_c + atp_c + trnaasn_c  -> amp_c + asntrna_c + ppi_c ,"tRNA Charging","Asparaginyl-tRNA synthetase",b0930
3HAD100,3hdecACP_c  -> h2o_c + tdec2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)",b0954 or b0180
3HAD120,3hddecACP_c  -> h2o_c + tddec2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)",b0180 or b0954
3HAD121,3hcddec5eACP_c  -> h2o_c + t3c5ddeceACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)",b0180 or b0954
3HAD140,3hmrsACP_c  -> h2o_c + tmrs2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)",b0954 or b0180
3HAD141,3hcmrs7eACP_c  -> h2o_c + t3c7mrseACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)",b0954 or b0180
3HAD160,3hpalmACP_c  -> h2o_c + tpalm2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)",b0954 or b0180
3HAD161,3hcpalm9eACP_c  -> h2o_c + t3c9palmeACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)",b0180 or b0954
3HAD180,3hoctaACP_c  -> h2o_c + toctd2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)",b0954 or b0180
3HAD181,3hcvac11eACP_c  -> h2o_c + t3c11vaceACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)",b0954 or b0180
3HAD40,3haACP_c  -> but2eACP_c + h2o_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)",b0954 or b0180
3HAD60,3hhexACP_c  -> h2o_c + thex2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)",b0954 or b0180
3HAD80,3hoctACP_c  -> h2o_c + toct2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)",b0954 or b0180
T2DECAI,tdec2eACP_c  <=> cdec3eACP_c ,"Cell Envelope Biosynthesis","Trans-2-decenoyl-ACP isomerase",b0954
MPTG,2 uaagmda_c  -> 2 h_c + 2 udcpdp_c + murein5p5p_p ,"Murein Biosynthesis","Murein polymerizing transglycosylase",(b3396 and b1069) or (b0149 and b1069) or (b1069 and b2519)
MPTG2,uaagmda_c + murein5p5p_p  -> h_c + udcpdp_c + murein5p5p5p_p ,"Murein Biosynthesis","Murein polymerizing transglycosylase 2 (three linked units)",(b3396 and b1069) or (b0149 and b1069) or (b1069 and b2519)
MCOATA,ACP_c + malcoa_c  <=> coa_c + malACP_c ,"Membrane Lipid Metabolism","Malonyl-CoA-ACP transacylase",b1094 and b1092
3OAR100,3odecACP_c + h_c + nadph_c  <=> 3hdecACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)",b1093
3OAR120,3oddecACP_c + h_c + nadph_c  <=> 3hddecACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)",b1093
3OAR121,3ocddec5eACP_c + h_c + nadph_c  -> 3hcddec5eACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)",b1093
3OAR140,3omrsACP_c + h_c + nadph_c  <=> 3hmrsACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)",b1093
3OAR141,3ocmrs7eACP_c + h_c + nadph_c  -> 3hcmrs7eACP_c + nadp_c ,"Cell Envelope Biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)",b1093
